0,1,2
668,137,3
162,943,4
305,451,3
198,640,3
94,69,3
301,483,4
13,791,5
495,924,3
655,176,2
854,756,3
30,2,3
181,1265,1
327,311,3
294,245,3
940,430,4
276,120,2
835,281,4
472,930,5
110,722,3
7,550,4
869,1047,2
567,133,4
263,205,5
118,217,3
807,415,3
752,307,5
854,170,4
758,657,5
56,42,4
125,455,5
790,62,3
748,213,3
198,658,3
677,748,4
158,127,5
230,570,4
840,22,3
591,367,3
924,849,3
548,183,5
398,732,4
291,568,4
568,1050,4
833,72,2
771,154,2
301,228,3
492,172,3
314,12,4
839,475,5
28,164,4
466,344,5
130,552,5
915,286,4
671,385,5
383,480,5
747,50,5
466,241,5
210,631,5
719,255,2
588,231,4
434,411,5
5,208,4
293,193,3
198,173,4
522,128,4
764,200,4
533,168,4
276,658,4
535,195,4
807,527,5
921,240,1
28,529,4
515,243,3
491,190,4
436,23,4
920,299,2
60,629,3
579,269,3
529,689,2
130,881,4
918,638,4
805,202,2
5,398,2
160,1134,4
883,603,4
834,405,4
535,25,4
469,490,5
178,1047,2
907,287,4
104,316,4
416,375,1
471,95,4
303,358,2
194,152,3
48,528,5
213,11,4
709,859,3
435,144,4
175,64,5
12,191,5
116,539,2
453,214,3
70,109,3
344,118,3
390,286,4
655,1141,3
297,307,4
395,750,5
825,276,1
13,904,1
185,447,4
308,393,4
128,209,4
630,742,5
222,375,1
632,549,3
870,810,3
194,209,3
880,268,5
753,300,1
577,627,5
10,285,5
235,463,4
450,423,5
449,936,5
645,96,3
530,163,3
514,25,4
128,71,4
551,762,5
508,183,5
854,825,3
13,137,5
328,568,3
49,90,1
537,238,4
840,183,5
125,98,5
666,502,3
309,286,4
753,193,4
725,881,5
722,7,4
374,411,3
653,823,2
805,475,5
197,688,1
524,942,4
327,1056,2
286,1053,4
116,191,4
724,1176,1
216,764,2
629,326,3
864,136,4
148,1,4
848,485,5
699,1010,3
682,89,4
102,313,3
870,202,3
805,21,2
468,603,5
339,346,5
406,971,3
88,300,3
641,496,2
425,429,4
608,568,5
917,3,1
886,367,4
943,38,3
537,381,3
889,89,4
643,79,4
181,220,4
626,678,1
529,270,4
890,215,4
456,432,4
807,384,4
664,162,4
346,120,3
823,654,5
264,200,5
328,689,5
504,211,4
314,280,3
601,241,4
416,80,2
112,690,4
460,1,2
336,824,3
486,936,3
329,515,4
757,27,4
643,673,4
711,582,5
545,168,4
553,191,4
703,328,3
58,603,5
174,288,3
625,179,4
323,619,3
786,200,5
32,245,2
543,324,3
345,301,4
292,528,5
666,1266,5
627,195,4
534,748,4
417,132,4
224,1152,3
253,87,5
184,137,5
825,405,5
339,449,3
515,340,3
730,748,4
201,326,2
385,24,3
655,823,2
117,1059,3
705,685,5
514,429,4
119,977,3
243,10,4
562,462,5
624,1095,2
533,498,4
318,127,5
545,88,3
627,549,3
566,71,2
558,286,4
347,50,5
