0,1,2
106,739,3
551,24,5
452,945,4
318,655,4
503,132,5
467,1016,4
731,195,1
450,4,3
697,286,4
297,699,4
292,214,3
936,919,5
523,382,5
210,49,3
416,761,4
855,283,3
213,199,5
141,125,5
615,48,5
299,98,4
202,286,1
423,1238,3
293,810,1
269,657,4
403,222,5
761,181,5
826,183,5
168,323,3
796,118,4
378,173,5
707,216,3
6,495,4
826,1222,3
72,792,3
642,470,4
585,83,3
262,628,2
283,173,5
7,431,4
629,1119,5
666,530,3
244,1048,4
506,47,4
415,204,4
303,236,4
932,131,4
72,509,4
698,707,2
65,73,4
214,135,3
394,28,4
115,48,5
435,96,5
145,1077,3
239,489,5
71,197,5
292,499,5
643,516,4
805,204,2
291,262,4
634,121,5
773,403,2
70,151,3
913,260,1
486,303,4
249,179,5
311,180,4
308,499,3
757,546,3
373,707,4
286,288,5
454,100,4
92,92,4
23,739,2
904,289,5
648,428,2
303,290,4
811,289,2
409,708,4
836,185,5
521,291,1
276,853,5
796,1285,4
95,568,4
527,190,4
871,202,4
435,1204,3
795,755,3
617,859,3
503,489,4
305,778,4
421,172,5
506,132,4
840,152,4
63,1067,3
650,230,4
262,815,2
773,174,3
416,874,1
7,601,5
472,365,4
493,69,5
836,302,5
178,202,5
588,326,4
528,204,5
332,1013,3
158,228,5
75,1152,1
847,173,5
296,186,3
561,611,5
288,100,5
387,518,4
301,831,4
99,413,3
893,288,3
908,98,5
804,748,4
385,1411,3
256,121,5
224,326,4
374,1048,3
892,127,5
606,148,3
614,476,3
774,208,2
181,24,1
290,99,4
940,628,4
197,233,4
146,1294,4
524,89,5
624,763,3
405,537,1
903,191,5
757,207,2
721,301,4
788,549,4
716,468,3
198,31,3
13,815,4
119,210,5
278,22,5
160,604,4
184,44,4
293,127,5
271,546,2
476,47,3
536,746,5
374,172,3
738,225,3
698,433,4
663,357,5
805,9,3
435,85,4
419,212,1
890,237,3
279,233,5
543,239,2
117,763,5
220,343,3
715,150,4
252,300,4
43,432,3
336,746,3
727,226,3
214,209,5
393,72,4
308,179,4
500,49,4
729,748,4
779,71,4
144,176,4
867,690,5
486,718,3
354,208,4
399,22,3
385,221,5
543,562,2
425,156,5
361,652,4
198,187,4
497,173,5
713,315,4
338,427,4
290,162,3
660,434,3
268,244,4
280,722,3
181,336,2
62,69,4
766,423,3
916,971,4
336,722,3
514,587,4
487,85,2
296,96,5
846,751,5
385,1159,4
921,71,4
279,451,1
916,172,5
796,323,2
478,219,2
871,313,5
747,606,5
590,6,5
436,739,4
497,94,3
621,722,4
367,876,3
244,52,4
381,443,5
254,238,3
454,185,2
417,223,5
653,763,1
316,1039,5
659,837,3
308,82,4
270,118,3
239,221,5
100,340,3
459,323,3
932,285,4
342,1163,3
307,22,3
304,259,1
330,161,4
271,275,4
64,32,1
788,203,5
595,127,5
345,42,2
551,779,4
934,449,4
533,747,5
682,64,5
379,181,4
887,655,1
932,855,5
85,663,5
65,47,2
436,1263,3
181,456,1
373,64,4
450,218,4
374,477,1
790,56,4
396,840,3
301,636,3
458,330,3
717,127,4
831,208,2
296,480,5
542,80,3
160,969,1
398,70,4
194,762,3
537,25,2
362,748,1
55,89,5
21,328,3
42,230,5
145,412,4
561,284,1
537,979,2
509,338,3
359,831,3
161,257,3
160,150,4
189,133,5
152,740,4
932,89,5
487,572,1
764,173,3
255,53,3
279,88,1
746,226,4
1,171,5
465,588,4
144,500,4
606,1151,3
318,458,4
690,523,4
405,185,4
527,9,5
766,435,3
862,24,4
544,300,4
90,177,5
747,480,5
735,237,4
717,327,3
810,321,5
479,490,4
301,31,3
773,769,1
154,642,3
18,416,5
548,218,4
601,118,1
308,152,5
75,56,5
470,919,3
83,576,4
767,176,3
60,558,4
94,347,5
246,1028,3
809,678,2
839,866,2
592,237,4
62,1073,4
634,302,5
781,64,4
373,506,4
504,414,5
354,922,4
542,319,3
419,223,4
10,70,4
206,269,4
933,25,2
280,486,5
805,1033,3
425,82,3
85,157,3
396,9,4
308,515,3
379,137,5
592,655,5
38,69,5
188,769,2
298,432,4
804,252,4
930,174,3
561,49,2
832,748,3
721,327,2
313,662,3
343,1047,1
201,273,2
102,271,2
183,222,4
293,708,3
251,1016,3
87,90,2
826,227,4
201,469,4
138,513,5
363,705,2
579,709,5
834,246,4
914,155,5
782,1394,4
464,358,3
246,288,5
712,1091,3
637,934,1
321,197,5
846,692,3
347,328,4
859,282,3
821,121,3
747,501,5
798,418,4
292,298,4
805,569,1
567,427,3
503,707,5
936,237,4
174,9,5
458,127,5
537,269,3
500,393,3
307,82,4
388,121,4
592,754,3
331,414,4
13,873,1
886,939,4
218,659,4
178,744,3
566,485,3
188,185,4
455,117,3
545,692,3
823,8,5
629,286,4
451,948,3
916,212,5
889,428,4
829,281,3
303,943,2
467,258,2
312,181,4
345,124,5
838,1115,4
457,98,5
747,187,5
659,161,3
175,147,3
943,566,4
326,520,5
244,1132,4
297,748,2
841,258,5
308,148,3
174,1041,5
557,288,1
889,171,4
490,515,3
263,486,4
263,202,4
615,238,3
566,135,5
316,185,2
387,190,5
308,199,4
521,154,2
495,389,5
222,240,2
178,100,4
237,176,3
109,755,5
809,340,4
59,28,5
808,286,4
230,276,5
218,591,3
795,559,2
320,42,4
305,282,3
429,473,3
790,762,5
496,143,3
334,652,5
881,265,5
95,892,3
871,286,3
10,496,5
921,400,4
307,193,3
57,173,5
201,209,3
567,511,2
565,171,5
891,471,5
401,121,3
255,323,2
897,684,2
655,187,5
781,210,4
281,331,3
233,98,5
313,845,3
537,199,4
7,609,3
519,333,3
322,302,5
374,820,4
782,1023,3
450,153,5
32,866,3
198,217,4
187,523,3
500,582,4
686,192,5
279,114,5
234,516,3
661,174,5
224,148,3
819,1160,4
747,433,3
378,204,4
606,652,3
54,250,4
269,435,3
